Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
46272955,711414003,Primary clear cell adenocarcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45772939,707465007,Primary mucoepidermoid carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45772938,707455001,Primary papillary squamous cell carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45772933,707407001,Primary signet ring cell carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45769097,707673006,Pleuropulmonary blastoma type III,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45769096,707672001,Pleuropulmonary blastoma type II,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45769095,707671008,Pleuropulmonary blastoma type I,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45769094,707670009,Pleuropulmonary blastoma,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45769035,707596000,Primary carcinosarcoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45769034,707595001,Primary mucinous cystadenocarcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768932,707470000,Primary mucinous bronchiolo-alveolar carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768931,707469001,Primary non-mucinous bronchiolo-alveolar carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768930,707468009,Primary mixed mucinous and non-mucinous bronchiolo-alveolar carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768929,707467004,Primary salivary gland type carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768928,707466008,Primary adenoid cystic carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768927,707464006,Primary myoepithelial carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768923,707460002,Primary pseudosarcomatous carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768922,707458004,Primary pleomorphic carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768921,707457009,Primary spindle cell carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768920,707456000,Primary undifferentiated carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768919,707454002,Primary basaloid squamous cell carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768918,707453008,Primary clear cell squamous cell carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768917,707452003,Primary mucinous adenocarcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768916,707451005,Primary adenocarcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
45768886,707411007,Primary papillary adenocarcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1"
