concept_id,concept_name,domain_id,concept_class_id,vocabulary_id,Include DN,Comment DN
4095432,Malignant neoplasm of liver and intrahepatic bile ducts,condition,clinical finding,SNOMED,Yes,Although has bile ducts also includes liver
4246127,Malignant neoplasm of liver,condition,clinical finding,SNOMED,Yes,
201519,Primary malignant neoplasm of liver,condition,clinical finding,SNOMED,Yes,
4200888,Local recurrence of malignant tumor of liver,condition,clinical finding,SNOMED,Unsure,Not a new diagnosis so although a proxy to capure population difficult for calculating survival
4196266,Metastasis from malignant tumor of liver,condition,clinical finding,SNOMED,Unsure,Not a new diagnosis so although a proxy to capure population difficult for calculating survival
4094864,Primary carcinoma of liver,condition,clinical finding,SNOMED,Yes,
4001171,Liver cell carcinoma,condition,clinical finding,SNOMED,Yes,
4001664,Intrahepatic bile duct carcinoma,condition,clinical finding,SNOMED,No,Not liver   
4001172,Hepatoblastoma,condition,clinical finding,SNOMED,Yes,
4003021,Angiosarcoma of liver,condition,clinical finding,SNOMED,Yes,
43530694,Metastasis to liver from adenocarcinoma,condition,clinical finding,SNOMED,No,Not liver   
4089662,Malignant neoplasm of interlobular bile ducts,condition,clinical finding,SNOMED,No,Not liver   
4089663,Malignant neoplasm of intrahepatic canaliculi,condition,clinical finding,SNOMED,No,Not liver   
4094865,Malignant neoplasm of intrahepatic gall duct,condition,clinical finding,SNOMED,No,Not liver   
4099699,Fibrolamellar hepatocellular carcinoma,condition,clinical finding,SNOMED,Yes,
4115271,Sarcoma of liver,condition,clinical finding,SNOMED,Yes,
4166154,Combined hepatocellular carcinoma and cholangiocarcinoma,condition,clinical finding,SNOMED,Yes,
4110014,Metastasis to liver of unknown primary,condition,clinical finding,SNOMED,No,Secondary not primary cancer
4252535,Adenocarcinoma of liver,condition,clinical finding,SNOMED,Yes,
40490929,Primary malignant neoplasm of intrahepatic bile duct,condition,clinical finding,SNOMED,No,Not liver   
37396736,Embryonal sarcoma of liver,condition,clinical finding,SNOMED,Unsure,We are only looking at people > 18 and this is a childhood cancer?
37399544,Primary hepatic neuroendocrine carcinoma,condition,clinical finding,SNOMED,Yes,
36715927,Primary cholangiocarcinoma of intrahepatic biliary tract,condition,clinical finding,SNOMED,No,
36674831,Squamous cell carcinoma of liver and intrahepatic biliary tract,condition,clinical finding,SNOMED,No,
36674832,Undifferentiated carcinoma of liver and intrahepatic biliary tract,condition,clinical finding,SNOMED,Yes,Although has bile ducts also includes liver
37204022,Adenocarcinoma of liver and intrahepatic biliary tract,condition,clinical finding,SNOMED,Yes,Although has bile ducts also includes liver
37311916,Mesothelial carcinoma of liver,condition,clinical finding,SNOMED,Unsure,not liver as such but lining of liver
3655297,Epithelioid hemangioendothelioma of liver,condition,clinical finding,SNOMED,Yes,blood vessels in the liver
