Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
46270923,708921005,Carcinoma of central portion of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
45768522,706970001,Triple-negative breast cancer,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44811954,94361000000105,Breast cancer detected by national screening programme,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
40492507,448952004,Infiltrating duct carcinoma of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
40486563,447782002,Carcinoma of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
40480651,444712000,Mucinous carcinoma of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
40480215,444604002,Mixed ductal and lobular carcinoma of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37399542,716593008,Carcinoma of salivary gland type of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37397555,718220008,Hereditary breast and ovarian cancer syndrome,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37310457,1082701000112100,Locally advanced breast cancer,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37208329,1080211000119100,Infiltrating ductal carcinoma of lower outer quadrant of right female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37208328,1080201000119100,Infiltrating ductal carcinoma of lower inner quadrant of right female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37208326,1080171000119100,Infiltrating ductal carcinoma of axillary tail of right female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37208325,1080131000119100,Infiltrating ductal carcinoma of lower outer quadrant of left female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37208324,1080121000119100,Infiltrating ductal carcinoma of lower inner quadrant of left female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37208322,1080091000119100,Infiltrating ductal carcinoma of axillary tail of left female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37208048,354591000119108,Primary malignant neoplasm of right male breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37208047,354491000119109,Primary malignant neoplasm of left male breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37018660,96291000119105,Primary malignant inflammatory neoplasm of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37017351,713609000,Invasive carcinoma of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
37016439,45221000119105,Primary invasive malignant neoplasm of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36717587,722832009,Primary solid papillary carcinoma with invasion of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36717260,1080111000119100,Infiltrating ductal carcinoma of central portion of left female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36716497,722524005,Primary invasive pleomorphic lobular carcinoma of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36712934,15635801000119100,Primary malignant neoplasm of bilateral female breasts,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36712739,1081561000119100,Recurrent primary malignant neoplasm of right female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36712738,1081551000119100,Recurrent primary malignant neoplasm of left female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36712725,1080341000119100,Infiltrating lobular carcinoma of right female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36712724,1080261000119100,Infiltrating lobular carcinoma of left female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
36712723,1080241000119100,Infiltrating ductal carcinoma of upper outer quadrant of right female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
