"","concept_id","concept_name","domain_id","vocabulary_id"
"1",444224,"Overlapping malignant neoplasm of lip, oral cavity and pharynx","Condition","SNOMED"
"2",436045,"Malignant neoplasm of lip, oral cavity and pharynx","Condition","SNOMED"
"3",4093646,"Malignant tumor of frenum of upper lip","Condition","SNOMED"
"4",4090217,"Malignant tumor of frenum of lower lip","Condition","SNOMED"
"5",4170451,"Malignant tumor of lipstick area of lip","Condition","SNOMED"
"6",4118988,"Malignant tumor of frenum of lip","Condition","SNOMED"
"7",4180779,"Malignant tumor of lip","Condition","SNOMED"
"8",4180782,"Malignant tumor of vermilion border of upper lip","Condition","SNOMED"
"9",4178961,"Malignant tumor of vermilion border of lower lip","Condition","SNOMED"
"10",4177100,"Malignant tumor of commissure of lip","Condition","SNOMED"
"11",4225833,"Malignant tumor of vermilion border of lip","Condition","SNOMED"
"12",133710,"Overlapping malignant neoplasm of lip","Condition","SNOMED"
"13",4054404,"Neoplasm of skin of lip","Condition","SNOMED"
"14",4054605,"Neoplasm of lip","Condition","SNOMED"
"15",4131599,"Neoplasm of vermilion border of lip","Condition","SNOMED"
"16",4130854,"Neoplasm of vermilion border of upper lip","Condition","SNOMED"
"17",4131600,"Neoplasm of vermilion border of lower lip","Condition","SNOMED"
"18",4054606,"Neoplasm of inner aspect of lip","Condition","SNOMED"
"19",4130855,"Neoplasm of inner aspect of upper lip","Condition","SNOMED"
"20",4130979,"Neoplasm of inner aspect of lower lip","Condition","SNOMED"
"21",4130980,"Neoplasm of commissure of lip","Condition","SNOMED"
"22",4093012,"Malignant neoplasm of upper lip, lipstick area","Condition","SNOMED"
"23",4089516,"Malignant neoplasm of lower lip, external","Condition","SNOMED"
"24",4093647,"Malignant neoplasm of lower lip, buccal aspect","Condition","SNOMED"
"25",40462300,"Overlapping neoplasm of oral cavity and lips and salivary glands","Condition","SNOMED"
"26",4115120,"Neoplasm of frenum of lip","Condition","SNOMED"
"27",4111021,"Overlapping malignant neoplasm of oral cavity and lips and salivary glands","Condition","SNOMED"
"28",436080,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx","Condition","SNOMED"
"29",255192,"Primary malignant neoplasm of commissure of lip","Condition","SNOMED"
"30",4155171,"Primary malignant neoplasm of lip","Condition","SNOMED"
"31",132565,"Primary malignant neoplasm of vermilion border of lower lip","Condition","SNOMED"
"32",138074,"Primary malignant neoplasm of vermilion border of upper lip","Condition","SNOMED"
"33",132832,"Primary malignant neoplasm of inner aspect of lip","Condition","SNOMED"
"34",137219,"Primary malignant neoplasm of inner aspect of lower lip","Condition","SNOMED"
"35",138351,"Primary malignant neoplasm of inner aspect of upper lip","Condition","SNOMED"
"36",136915,"Primary malignant neoplasm of skin of lip","Condition","SNOMED"
"37",133969,"Primary malignant neoplasm of vermilion border of lip","Condition","SNOMED"
"38",4316376,"Neoplasm of uncertain behavior of commissure of lip","Condition","SNOMED"
"39",4316495,"Neoplasm of uncertain behavior of inner aspect of lip","Condition","SNOMED"
"40",4313510,"Neoplasm of uncertain behavior of inner aspect of lower lip","Condition","SNOMED"
"41",4315415,"Neoplasm of uncertain behavior of inner aspect of upper lip","Condition","SNOMED"
"42",4317548,"Neoplasm of uncertain behavior of lip","Condition","SNOMED"
"43",4317701,"Neoplasm of uncertain behavior of skin of lip","Condition","SNOMED"
"44",4317136,"Neoplasm of uncertain behavior of vermilion border of lip","Condition","SNOMED"
"45",4317137,"Neoplasm of uncertain behavior of vermilion border of lower lip","Condition","SNOMED"
"46",4317138,"Neoplasm of uncertain behavior of vermilion border of upper lip","Condition","SNOMED"
"47",4181332,"Malignant tumor of base of tongue","Condition","SNOMED"
