"","concept_id","concept_name","domain_id","vocabulary_id"
"1",4130518,"Neoplasm of liver","Condition","SNOMED"
"2",4095432,"Malignant neoplasm of liver and intrahepatic bile ducts","Condition","SNOMED"
"3",199767,"Neoplasm of uncertain behavior of liver and/or biliary passages","Condition","SNOMED"
"4",4246127,"Malignant neoplasm of liver","Condition","SNOMED"
"5",4313636,"Neoplasm of uncertain behavior of liver","Condition","SNOMED"
"6",201519,"Primary malignant neoplasm of liver","Condition","SNOMED"
"7",4001171,"Liver cell carcinoma","Condition","SNOMED"
"8",4001664,"Intrahepatic bile duct carcinoma","Condition","SNOMED"
"9",4001172,"Hepatoblastoma","Condition","SNOMED"
"10",4003021,"Angiosarcoma of liver","Condition","SNOMED"
"11",4130519,"Neoplasm of intrahepatic bile ducts","Condition","SNOMED"
"12",43530694,"Metastasis to liver from adenocarcinoma","Condition","SNOMED"
"13",4094864,"Primary carcinoma of liver","Condition","SNOMED"
"14",4089662,"Malignant neoplasm of interlobular bile ducts","Condition","SNOMED"
"15",4089663,"Malignant neoplasm of intrahepatic canaliculi","Condition","SNOMED"
"16",4094865,"Malignant neoplasm of intrahepatic gall duct","Condition","SNOMED"
"17",4099699,"Fibrolamellar hepatocellular carcinoma","Condition","SNOMED"
"18",4115271,"Sarcoma of liver","Condition","SNOMED"
"19",4166154,"Combined hepatocellular carcinoma and cholangiocarcinoma","Condition","SNOMED"
"20",4110014,"Metastasis to liver of unknown primary","Condition","SNOMED"
"21",4200888,"Local recurrence of malignant tumor of liver","Condition","SNOMED"
"22",4252535,"Adenocarcinoma of liver","Condition","SNOMED"
"23",4310731,"Adenoma of liver","Condition","SNOMED"
"24",4179531,"Hemangioendothelioma of liver","Condition","SNOMED"
"25",40490929,"Primary malignant neoplasm of intrahepatic bile duct","Condition","SNOMED"
"26",40492942,"Hepatic cystadenoma","Condition","SNOMED"
"27",37396736,"Embryonal sarcoma of liver","Condition","SNOMED"
"28",37399544,"Primary hepatic neuroendocrine carcinoma","Condition","SNOMED"
"29",36715927,"Primary cholangiocarcinoma of intrahepatic biliary tract","Condition","SNOMED"
"30",36674831,"Squamous cell carcinoma of liver and intrahepatic biliary tract","Condition","SNOMED"
"31",36674832,"Undifferentiated carcinoma of liver and intrahepatic biliary tract","Condition","SNOMED"
"32",37204022,"Adenocarcinoma of liver and intrahepatic biliary tract","Condition","SNOMED"
"33",37311916,"Mesothelial carcinoma of liver","Condition","SNOMED"
"34",3654612,"Biliary intraepithelial neoplasia grade 3 of liver","Condition","SNOMED"
"35",3654619,"Cavernous hemangioma of liver","Condition","SNOMED"
"36",3655297,"Epithelioid hemangioendothelioma of liver","Condition","SNOMED"
"37",4317541,"Neoplasm of uncertain behavior of intrahepatic bile ducts","Condition","SNOMED"
"38",4096513,"Neoplasm of uncertain behavior of hepatic duct","Condition","SNOMED"
"39",4094104,"Neoplasm of uncertain behavior of sphincter of Oddi","Condition","SNOMED"
"40",4113105,"Neoplasm of uncertain behavior of biliary system","Condition","SNOMED"
"41",36685009,"Neoplasm of uncertain behavior of bile duct","Condition","SNOMED"
"42",4313355,"Neoplasm of uncertain behavior of ampulla of Vater","Condition","SNOMED"
"43",4317410,"Neoplasm of uncertain behavior of common bile duct","Condition","SNOMED"
"44",4313381,"Neoplasm of uncertain behavior of cystic duct","Condition","SNOMED"
"45",4317418,"Neoplasm of uncertain behavior of extrahepatic bile ducts","Condition","SNOMED"
"46",4316489,"Neoplasm of uncertain behavior of gallbladder","Condition","SNOMED"
