"","concept_id","concept_name","domain_id","vocabulary_id"
"1",4095319,"Malignant tumor of fundus of stomach","Condition","SNOMED"
"2",4095320,"Malignant tumor of body of stomach","Condition","SNOMED"
"3",4116239,"Malignant tumor of esophagus, stomach and duodenum","Condition","SNOMED"
"4",4149837,"Malignant tumor of lesser curve of stomach","Condition","SNOMED"
"5",4149838,"Malignant tumor of greater curve of stomach","Condition","SNOMED"
"6",4200887,"Local recurrence of malignant tumor of stomach","Condition","SNOMED"
"7",4201620,"Metastasis from malignant tumor of stomach","Condition","SNOMED"
"8",443387,"Malignant tumor of stomach","Condition","SNOMED"
"9",46271647,"Malignant carcinoid tumor of stomach","Condition","SNOMED"
"10",35610176,"Malignant neoplasm of prepylorus of stomach","Condition","SNOMED"
"11",35610248,"Malignant neoplasm of posterior wall of stomach","Condition","SNOMED"
"12",35610249,"Malignant neoplasm of anterior wall of stomach","Condition","SNOMED"
"13",197803,"Overlapping malignant neoplasm of stomach","Condition","SNOMED"
"14",4131611,"Neoplasm of stomach","Condition","SNOMED"
"15",4131612,"Neoplasm of cardia of stomach","Condition","SNOMED"
"16",4130510,"Neoplasm of fundus of stomach","Condition","SNOMED"
"17",4130511,"Neoplasm of body of stomach","Condition","SNOMED"
"18",4130512,"Neoplasm of lesser curvature of stomach","Condition","SNOMED"
"19",4130992,"Neoplasm of greater curvature of stomach","Condition","SNOMED"
"20",4094857,"Malignant neoplasm of cardiac orifice of stomach","Condition","SNOMED"
"21",4089658,"Malignant neoplasm of cardio-esophageal junction of stomach","Condition","SNOMED"
"22",4094859,"Malignant neoplasm of pyloric canal of stomach","Condition","SNOMED"
"23",196044,"Primary malignant neoplasm of stomach","Condition","SNOMED"
"24",201529,"Neoplasm of uncertain behavior of stomach","Condition","SNOMED"
"25",36715499,"Neuroendocrine neoplasm of stomach","Condition","SNOMED"
"26",36715857,"Primary malignant neuroendocrine neoplasm of stomach","Condition","SNOMED"
"27",36715858,"Primary malignant neuroendocrine neoplasm of cardia of stomach","Condition","SNOMED"
"28",36715859,"Primary malignant neuroendocrine neoplasm of body of stomach","Condition","SNOMED"
"29",36715860,"Primary malignant neuroendocrine neoplasm of pyloric antrum of stomach","Condition","SNOMED"
"30",36715865,"Primary malignant mesenchymal neoplasm of stomach","Condition","SNOMED"
"31",3655296,"Gastrointestinal stromal neoplasm of overlapping lesion of stomach","Condition","SNOMED"
"32",193422,"Primary malignant neoplasm of body of stomach","Condition","SNOMED"
"33",432838,"Primary malignant neoplasm of cardia of stomach","Condition","SNOMED"
"34",435751,"Primary malignant neoplasm of fundus of stomach","Condition","SNOMED"
"35",437224,"Primary malignant neoplasm of greater curvature of stomach","Condition","SNOMED"
"36",434292,"Primary malignant neoplasm of lesser curvature of stomach","Condition","SNOMED"
"37",4314211,"Neoplasm of uncertain behavior of body of stomach","Condition","SNOMED"
"38",4313370,"Neoplasm of uncertain behavior of cardia of stomach","Condition","SNOMED"
"39",4314955,"Neoplasm of uncertain behavior of fundus of stomach","Condition","SNOMED"
"40",4316491,"Neoplasm of uncertain behavior of greater curvature of stomach","Condition","SNOMED"
"41",4316502,"Neoplasm of uncertain behavior of lesser curvature of stomach","Condition","SNOMED"
"42",4110571,"Carcinoma of fundus of stomach","Condition","SNOMED"
"43",4115266,"Carcinoma of body of stomach","Condition","SNOMED"
"44",36717622,"Primary adenocarcinoma of body of stomach","Condition","SNOMED"
"45",36715862,"Primary neuroendocrine carcinoma of body of stomach","Condition","SNOMED"
"46",4174763,"Early gastric cancer","Condition","SNOMED"
"47",4174764,"Late gastric cancer","Condition","SNOMED"
"48",4112603,"Tumor of esophagus, stomach and duodenum","Condition","SNOMED"
"49",194306,"Carcinoid tumor of stomach","Condition","SNOMED"
"50",4241687,"T3: Stomach tumor penetrates serosa without invasion of adjacent structures","Condition","SNOMED"
"51",4240432,"T4: Pancreas tumor extends directly to any of the following: stomach; spleen; colon; adjacent large vessels","Condition","SNOMED"
"52",4295629,"pT3: Tumor penetrates serosa (visceral peritoneum) without invasion of adjacent structures (stomach)","Condition","SNOMED"
"53",4264714,"pT4: Tumor invades any of the following: main portal vein or its branches bilaterally, common hepatic artery, or other adjacent structures, such as the colon, stomach, duodenum, or abdominal wall (extrahepatic bile ducts)","Condition","SNOMED"
"54",4188557,"Submucosal tumor of stomach","Condition","SNOMED"
"55",40492266,"Gastrointestinal stromal tumor of stomach","Condition","SNOMED"
"56",4094856,"Malignant tumor of cardia","Condition","SNOMED"
"57",36674609,"Metastatic HER2 positive gastroesophageal junction cancer","Condition","SNOMED"
"58",40486029,"Lymphoma of fundus of stomach","Condition","SNOMED"
"59",40490460,"Lymphoma of body of stomach","Condition","SNOMED"
"60",4115267,"Carcinoma of lesser curve of stomach","Condition","SNOMED"
"61",40488958,"Lymphoma of lesser curvature of stomach","Condition","SNOMED"
"62",4112609,"Carcinoma of greater curve of stomach","Condition","SNOMED"
"63",40486589,"Lymphoma of greater curvature of stomach","Condition","SNOMED"
"64",4095317,"Malignant tumor of pylorus","Condition","SNOMED"
"65",4092061,"Malignant tumor of pyloric antrum","Condition","SNOMED"
"66",4110570,"Carcinoma of cardia","Condition","SNOMED"
"67",4110572,"Carcinoma of pyloric antrum","Condition","SNOMED"
"68",4112607,"Carcinoma of pylorus","Condition","SNOMED"
"69",4174765,"Gastric lymphoma","Condition","SNOMED"
"70",44792336,"Siewert type II adenocarcinoma","Condition","SNOMED"
"71",44792337,"Siewert type III adenocarcinoma","Condition","SNOMED"
"72",44792338,"Siewert type I adenocarcinoma","Condition","SNOMED"
"73",4155299,"Carcinoma of stomach","Condition","SNOMED"
"74",4248802,"Adenocarcinoma of stomach","Condition","SNOMED"
"75",4208017,"Siewert type I adenocarcinoma of esophagogastric junction","Condition","SNOMED"
"76",4258546,"Siewert type III adenocarcinoma of esophagogastric junction","Condition","SNOMED"
"77",4207131,"Siewert type II adenocarcinoma of esophagogastric junction","Condition","SNOMED"
"78",40480206,"Mucosa-associated lymphoid tissue (MALT) lymphoma of stomach","Condition","SNOMED"
"79",40486027,"Lymphoma of pylorus of stomach","Condition","SNOMED"
"80",40486084,"Leiomyosarcoma of cardia of stomach","Condition","SNOMED"
"81",40486545,"Lymphoma of pyloric antrum of stomach","Condition","SNOMED"
"82",40486566,"Leiomyosarcoma of stomach","Condition","SNOMED"
"83",40486590,"Lymphoma of cardia of stomach","Condition","SNOMED"
"84",40490988,"Diffuse non-Hodgkin's lymphoma of stomach","Condition","SNOMED"
"85",40491440,"Non-Hodgkin's lymphoma of stomach","Condition","SNOMED"
"86",40493008,"Leiomyosarcoma of cardioesophageal junction","Condition","SNOMED"
"87",40493030,"Lymphoma of cardioesophageal junction","Condition","SNOMED"
"88",40486173,"Follicular non-Hodgkin's lymphoma of stomach","Condition","SNOMED"
"89",37396688,"Epstein-Barr virus associated gastric carcinoma","Condition","SNOMED"
"90",37396884,"Hereditary diffuse carcinoma of stomach","Condition","SNOMED"
"91",36717176,"Primary adenocarcinoma of esophagogastric junction","Condition","SNOMED"
"92",36715854,"Linitis plastica of stomach","Condition","SNOMED"
"93",36717490,"Primary adenocarcinoma of cardia of stomach","Condition","SNOMED"
"94",36717177,"Primary adenocarcinoma of pyloric antrum of stomach","Condition","SNOMED"
"95",36715856,"Primary adenocarcinoma of overlapping lesion of stomach","Condition","SNOMED"
"96",36715861,"Primary neuroendocrine carcinoma of stomach","Condition","SNOMED"
"97",36717178,"Primary neuroendocrine carcinoma of cardia of stomach","Condition","SNOMED"
"98",36715863,"Primary neuroendocrine carcinoma of pyloric antrum of stomach","Condition","SNOMED"
"99",36715864,"Primary neuroendocrine carcinoma of overlapping lesion of stomach","Condition","SNOMED"
"100",36716505,"Primary malignant neoplasm of esophagogastric junction","Condition","SNOMED"
"101",35624157,"Undifferentiated carcinoma of stomach","Condition","SNOMED"
"102",35624315,"Squamous cell carcinoma of stomach","Condition","SNOMED"
"103",3654887,"Diffuse large B-cell lymphoma of stomach","Condition","SNOMED"
"104",438089,"Primary malignant neoplasm of pyloric antrum","Condition","SNOMED"
"105",192255,"Primary malignant neoplasm of pylorus","Condition","SNOMED"
"106",4131613,"Neoplasm of pyloric antrum","Condition","SNOMED"
"107",4129876,"Neoplasm of pylorus","Condition","SNOMED"
"108",4342648,"Fundic gland polyposis of stomach","Condition","SNOMED"
"109",4171272,"Leiomyoma of stomach","Condition","SNOMED"
"110",4263768,"Hyperplastic adenomatous polyp of stomach","Condition","SNOMED"
"111",40489469,"Gastric wall tumor","Condition","SNOMED"
"112",36713371,"Lipoma of stomach","Condition","SNOMED"
"113",4316897,"Neoplasm of uncertain behavior of pyloric antrum","Condition","SNOMED"
"114",4316898,"Neoplasm of uncertain behavior of pylorus","Condition","SNOMED"
"115",25748,"Overlapping malignant neoplasm of esophagus","Condition","SNOMED"
"116",760961,"Malignant carcinoid tumor of duodenum","Condition","SNOMED"
"117",4130990,"Neoplasm of esophagus","Condition","SNOMED"
"118",4131608,"Neoplasm of cervical esophagus","Condition","SNOMED"
"119",4129875,"Neoplasm of thoracic esophagus","Condition","SNOMED"
"120",4131609,"Neoplasm of abdominal esophagus","Condition","SNOMED"
"121",4130991,"Neoplasm of upper third of esophagus","Condition","SNOMED"
"122",4130509,"Neoplasm of middle third of esophagus","Condition","SNOMED"
"123",4131610,"Neoplasm of lower third of esophagus","Condition","SNOMED"
"124",4131615,"Neoplasm of duodenum","Condition","SNOMED"
"125",4130998,"Neoplasm of ampulla of Vater","Condition","SNOMED"
"126",37016162,"Primary adenocarcinoma of distal third of esophagus","Condition","SNOMED"
"127",37209299,"Villous adenoma of duodenum","Condition","SNOMED"
"128",4094854,"Malignant tumor of cervical part of esophagus","Condition","SNOMED"
"129",4092059,"Malignant tumor of thoracic part of esophagus","Condition","SNOMED"
